EBELN,EBELP,LIFNR,NAME1,MATNR,TXZ01,MENGE,NETPR,WAERS,ZTERM,BEDAT,PO_STATUS
4500000211,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,16.0,441.35,EUR,NT45,2026-01-21,Open
4500000212,00010,0000700002,Bluepeak Manufacturing AG,MAT-100020,Hydraulic seal kit,5.0,300.26,EUR,NT60,2026-01-08,Open
4500000213,00010,0000700003,Vertex Trading BV,MAT-100030,Control valve 2in,13.0,589.33,GBP,NT60,2026-01-11,Open
4500000214,00010,0000700004,Ravenna Trading BV,MAT-100040,Copper cable reel,1.0,105.28,EUR,NT60,2026-04-08,Open
4500000215,00010,0000700005,Kestrel Supply Ltd,MAT-100050,Industrial gearbox,41.0,313.81,EUR,NT30,2026-01-22,Open
4500000216,00010,0000700006,Alpenrose Logistics AS,MAT-100060,Steel plate 10mm,52.0,282.36,USD,NT45,2026-01-24,Open
4500000217,00010,0000700007,Silverline Components SA,MAT-100070,Filter cartridge,1.0,388.16,USD,NT60,2026-02-18,Open
4500000218,00010,0000700008,Bramble Technologies Oy,MAT-100080,Sensor module,35.0,304.14,EUR,NT45,2026-02-09,Open
4500000219,00010,0000700009,Cobalt Systems Inc,MAT-100090,Coupling flange,50.0,455.36,EUR,NT60,2026-02-07,Open
4500000220,00010,0000700010,Driftwood Industrie GmbH,MAT-100100,Pump impeller,27.0,91.09,EUR,NT45,2026-01-29,Open
4500000221,00010,0000700011,Ember Materials SpA,MAT-100010,Stainless bearing type A,45.0,276.53,GBP,NT60,2026-02-20,Open
4500000222,00010,0000700012,Fairmont Systems Inc,MAT-100020,Hydraulic seal kit,49.0,299.89,USD,NT30,2026-03-25,Open
4500000223,00010,0000700013,Granite Trading BV,MAT-100030,Control valve 2in,37.0,174.08,EUR,NT30,2026-02-17,Open
4500000224,00010,0000700014,Harbourview Components SA,MAT-100040,Copper cable reel,26.0,455.84,EUR,NT45,2026-01-11,Open
4500000225,00010,0000700015,Ironwood Supply Ltd,MAT-100050,Industrial gearbox,57.0,220.79,GBP,NT45,2026-01-24,Open
4500000226,00010,0000700016,Juniper Technologies Oy,MAT-100060,Steel plate 10mm,28.0,95.22,GBP,NT60,2026-03-05,Open
4500000227,00010,0000700017,Larkspur Manufacturing AG,MAT-100070,Filter cartridge,16.0,55.09,EUR,NT45,2026-01-31,Open
4500000228,00010,0000700018,Meridian Logistics AS,MAT-100080,Sensor module,10.0,571.98,GBP,NT45,2026-02-15,Open
4500000229,00010,0000700019,Northgate Industrie GmbH,MAT-100090,Coupling flange,31.0,146.08,EUR,NT30,2026-03-13,Open
4500000230,00010,0000700020,Orchard Components SA,MAT-100100,Pump impeller,16.0,148.63,EUR,NT60,2026-01-12,Open
4500000231,00010,0000700021,Pinnacle Manufacturing AG,MAT-100010,Stainless bearing type A,60.0,191.36,USD,NT45,2026-01-16,Open
4500000232,00010,0000700022,Quarry Materials SpA,MAT-100020,Hydraulic seal kit,2.0,522.56,GBP,NT45,2026-01-28,Open
4500000233,00010,0000700023,Redstone Industrie GmbH,MAT-100030,Control valve 2in,30.0,544.4,USD,NT60,2026-02-09,Open
4500000234,00010,0000700024,Summit Manufacturing AG,MAT-100040,Copper cable reel,15.0,116.46,USD,NT30,2026-04-05,Open
4500000235,00010,0000700025,Thornbury Components SA,MAT-100050,Industrial gearbox,10.0,234.65,EUR,NT30,2026-02-23,Open
4500000236,00010,0000700026,Umbra Systems Inc,MAT-100060,Steel plate 10mm,43.0,549.8,EUR,NT30,2026-05-10,Open
4500000237,00010,0000700027,Valemont Manufacturing AG,MAT-100070,Filter cartridge,45.0,541.78,EUR,NT60,2026-01-03,Open
4500000238,00010,0000700028,Westford Trading BV,MAT-100080,Sensor module,11.0,219.18,EUR,NT30,2026-05-05,Open
4500000239,00010,0000700029,Yarrow Supply Ltd,MAT-100090,Coupling flange,34.0,68.76,EUR,NT45,2026-04-12,Open
4500000240,00010,0000700030,Zenith Materials SpA,MAT-100100,Pump impeller,47.0,94.18,GBP,NT45,2026-01-25,Open
4500000241,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,15.0,104.87,EUR,NT60,2026-02-23,Open
4500000242,00010,0000700002,Bluepeak Manufacturing AG,MAT-100020,Hydraulic seal kit,18.0,290.88,EUR,NT45,2026-01-05,Open
4500000243,00010,0000700003,Vertex Trading BV,MAT-100030,Control valve 2in,8.0,40.65,EUR,NT30,2026-04-29,Open
4500000244,00010,0000700004,Ravenna Trading BV,MAT-100040,Copper cable reel,60.0,213.79,USD,NT45,2026-03-11,Open
4500000245,00010,0000700005,Kestrel Supply Ltd,MAT-100050,Industrial gearbox,21.0,517.35,GBP,NT30,2026-01-09,Open
4500000246,00010,0000700006,Alpenrose Logistics AS,MAT-100060,Steel plate 10mm,30.0,297.1,GBP,NT60,2026-03-02,Open
4500000247,00010,0000700007,Silverline Components SA,MAT-100070,Filter cartridge,9.0,254.13,EUR,NT60,2026-03-26,Open
4500000248,00010,0000700008,Bramble Technologies Oy,MAT-100080,Sensor module,29.0,270.54,GBP,NT60,2026-02-14,Open
4500000249,00010,0000700009,Cobalt Systems Inc,MAT-100090,Coupling flange,24.0,284.08,EUR,NT45,2026-01-13,Open
4500000250,00010,0000700010,Driftwood Industrie GmbH,MAT-100100,Pump impeller,8.0,154.01,EUR,NT45,2026-02-04,Open
4500000251,00010,0000700011,Ember Materials SpA,MAT-100010,Stainless bearing type A,9.0,209.96,USD,NT45,2026-04-27,Open
4500000252,00010,0000700012,Fairmont Systems Inc,MAT-100020,Hydraulic seal kit,41.0,333.93,GBP,NT60,2026-03-25,Open
4500000253,00010,0000700013,Granite Trading BV,MAT-100030,Control valve 2in,7.0,519.77,EUR,NT60,2026-04-21,Open
4500000254,00010,0000700014,Harbourview Components SA,MAT-100040,Copper cable reel,20.0,157.13,EUR,NT60,2026-02-27,Open
4500000255,00010,0000700015,Ironwood Supply Ltd,MAT-100050,Industrial gearbox,47.0,487.59,EUR,NT60,2026-02-05,Open
4500000256,00010,0000700016,Juniper Technologies Oy,MAT-100060,Steel plate 10mm,15.0,91.55,EUR,NT45,2026-02-27,Open
4500000257,00010,0000700017,Larkspur Manufacturing AG,MAT-100070,Filter cartridge,37.0,238.84,EUR,NT30,2026-04-02,Open
4500000258,00010,0000700018,Meridian Logistics AS,MAT-100080,Sensor module,5.0,556.88,EUR,NT30,2026-03-18,Open
4500000259,00010,0000700019,Northgate Industrie GmbH,MAT-100090,Coupling flange,54.0,267.05,GBP,NT30,2026-04-11,Open
4500000260,00010,0000700020,Orchard Components SA,MAT-100100,Pump impeller,58.0,355.84,EUR,NT60,2026-01-16,Open
4500000261,00010,0000700021,Pinnacle Manufacturing AG,MAT-100010,Stainless bearing type A,7.0,153.16,EUR,NT60,2026-03-14,Open
4500000262,00010,0000700022,Quarry Materials SpA,MAT-100020,Hydraulic seal kit,37.0,127.98,EUR,NT60,2026-02-15,Open
4500000263,00010,0000700023,Redstone Industrie GmbH,MAT-100030,Control valve 2in,1.0,435.75,EUR,NT30,2026-02-02,Open
4500000264,00010,0000700024,Summit Manufacturing AG,MAT-100040,Copper cable reel,28.0,371.7,EUR,NT30,2026-01-22,Open
4500000265,00010,0000700025,Thornbury Components SA,MAT-100050,Industrial gearbox,38.0,396.84,EUR,NT45,2026-05-08,Open
4500000266,00010,0000700026,Umbra Systems Inc,MAT-100060,Steel plate 10mm,2.0,271.55,USD,NT45,2026-04-02,Open
4500000267,00010,0000700027,Valemont Manufacturing AG,MAT-100070,Filter cartridge,51.0,443.23,EUR,NT60,2026-02-26,Open
4500000268,00010,0000700028,Westford Trading BV,MAT-100080,Sensor module,23.0,364.56,GBP,NT60,2026-02-21,Open
4500000269,00010,0000700029,Yarrow Supply Ltd,MAT-100090,Coupling flange,41.0,207.81,EUR,NT30,2026-02-22,Open
4500000270,00010,0000700030,Zenith Materials SpA,MAT-100100,Pump impeller,3.0,75.05,EUR,NT45,2026-02-16,Open
4500000271,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,31.0,290.54,USD,NT60,2026-03-07,Open
4500000272,00010,0000700002,Bluepeak Manufacturing AG,MAT-100020,Hydraulic seal kit,23.0,433.58,EUR,NT45,2026-03-31,Open
4500000273,00010,0000700003,Vertex Trading BV,MAT-100030,Control valve 2in,10.0,212.05,USD,NT60,2026-03-11,Open
4500000274,00010,0000700004,Ravenna Trading BV,MAT-100040,Copper cable reel,15.0,497.33,GBP,NT30,2026-01-18,Open
4500000275,00010,0000700005,Kestrel Supply Ltd,MAT-100050,Industrial gearbox,28.0,178.53,EUR,NT30,2026-04-11,Open
4500000276,00010,0000700006,Alpenrose Logistics AS,MAT-100060,Steel plate 10mm,45.0,294.69,USD,NT30,2026-04-28,Open
4500000277,00010,0000700007,Silverline Components SA,MAT-100070,Filter cartridge,12.0,293.39,USD,NT60,2026-03-04,Open
4500000278,00010,0000700008,Bramble Technologies Oy,MAT-100080,Sensor module,4.0,503.28,EUR,NT30,2026-01-09,Open
4500000279,00010,0000700009,Cobalt Systems Inc,MAT-100090,Coupling flange,55.0,449.86,EUR,NT60,2026-03-05,Open
4500000280,00010,0000700010,Driftwood Industrie GmbH,MAT-100100,Pump impeller,9.0,255.51,EUR,NT30,2026-04-04,Open
4500000281,00010,0000700011,Ember Materials SpA,MAT-100010,Stainless bearing type A,55.0,111.1,GBP,NT30,2026-01-22,Open
4500000282,00010,0000700012,Fairmont Systems Inc,MAT-100020,Hydraulic seal kit,2.0,399.37,EUR,NT45,2026-01-07,Open
4500000283,00010,0000700013,Granite Trading BV,MAT-100030,Control valve 2in,60.0,119.87,EUR,NT60,2026-01-04,Open
4500000284,00010,0000700014,Harbourview Components SA,MAT-100040,Copper cable reel,18.0,563.06,EUR,NT45,2026-01-14,Open
4500000285,00010,0000700015,Ironwood Supply Ltd,MAT-100050,Industrial gearbox,43.0,460.41,GBP,NT30,2026-02-24,Open
4500000286,00010,0000700016,Juniper Technologies Oy,MAT-100060,Steel plate 10mm,46.0,99.86,USD,NT60,2026-03-11,Open
4500000287,00010,0000700017,Larkspur Manufacturing AG,MAT-100070,Filter cartridge,38.0,97.94,EUR,NT60,2026-04-18,Open
4500000288,00010,0000700018,Meridian Logistics AS,MAT-100080,Sensor module,47.0,590.35,GBP,NT45,2026-04-03,Open
4500000289,00010,0000700019,Northgate Industrie GmbH,MAT-100090,Coupling flange,25.0,146.51,EUR,NT45,2026-02-26,Open
4500000290,00010,0000700020,Orchard Components SA,MAT-100100,Pump impeller,27.0,283.29,EUR,NT60,2026-01-21,Open
4500000291,00010,0000700021,Pinnacle Manufacturing AG,MAT-100010,Stainless bearing type A,33.0,418.06,EUR,NT30,2026-04-07,Open
4500000292,00010,0000700022,Quarry Materials SpA,MAT-100020,Hydraulic seal kit,34.0,467.04,USD,NT30,2026-03-02,Open
4500000293,00010,0000700023,Redstone Industrie GmbH,MAT-100030,Control valve 2in,46.0,140.69,EUR,NT45,2026-01-10,Open
4500000294,00010,0000700024,Summit Manufacturing AG,MAT-100040,Copper cable reel,43.0,189.66,EUR,NT45,2026-01-18,Open
4500000295,00010,0000700025,Thornbury Components SA,MAT-100050,Industrial gearbox,1.0,124.9,EUR,NT60,2026-02-23,Open
4500000296,00010,0000700026,Umbra Systems Inc,MAT-100060,Steel plate 10mm,17.0,562.25,EUR,NT45,2026-03-29,Open
4500000297,00010,0000700027,Valemont Manufacturing AG,MAT-100070,Filter cartridge,39.0,146.16,USD,NT45,2026-05-01,Open
4500000298,00010,0000700028,Westford Trading BV,MAT-100080,Sensor module,40.0,413.13,EUR,NT45,2026-02-01,Open
4500000299,00010,0000700029,Yarrow Supply Ltd,MAT-100090,Coupling flange,26.0,416.06,USD,NT60,2026-03-25,Open
4500000300,00010,0000700030,Zenith Materials SpA,MAT-100100,Pump impeller,6.0,582.3,USD,NT60,2026-02-10,Open
4500000301,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,41.0,419.47,EUR,NT45,2026-01-11,Open
4500000302,00010,0000700002,Bluepeak Manufacturing AG,MAT-100020,Hydraulic seal kit,18.0,494.26,USD,NT30,2026-01-07,Open
4500000303,00010,0000700003,Vertex Trading BV,MAT-100030,Control valve 2in,32.0,556.02,GBP,NT45,2026-04-20,Open
4500000304,00010,0000700004,Ravenna Trading BV,MAT-100040,Copper cable reel,25.0,302.49,GBP,NT45,2026-01-23,Open
4500000305,00010,0000700005,Kestrel Supply Ltd,MAT-100050,Industrial gearbox,54.0,506.11,EUR,NT30,2026-01-02,Open
4500000306,00010,0000700006,Alpenrose Logistics AS,MAT-100060,Steel plate 10mm,45.0,159.08,EUR,NT30,2026-02-05,Open
4500000307,00010,0000700007,Silverline Components SA,MAT-100070,Filter cartridge,29.0,385.1,USD,NT60,2026-02-07,Open
4500000308,00010,0000700008,Bramble Technologies Oy,MAT-100080,Sensor module,4.0,391.52,GBP,NT60,2026-04-29,Open
4500000309,00010,0000700009,Cobalt Systems Inc,MAT-100090,Coupling flange,6.0,521.81,EUR,NT60,2026-03-17,Open
4500000310,00010,0000700010,Driftwood Industrie GmbH,MAT-100100,Pump impeller,40.0,471.52,EUR,NT30,2026-05-09,Open
4500000311,00010,0000700011,Ember Materials SpA,MAT-100010,Stainless bearing type A,27.0,145.92,EUR,NT60,2026-01-21,Open
4500000312,00010,0000700012,Fairmont Systems Inc,MAT-100020,Hydraulic seal kit,42.0,598.71,EUR,NT30,2026-01-01,Open
4500000313,00010,0000700013,Granite Trading BV,MAT-100030,Control valve 2in,49.0,98.11,USD,NT45,2026-02-14,Open
4500000314,00010,0000700014,Harbourview Components SA,MAT-100040,Copper cable reel,55.0,493.41,GBP,NT60,2026-01-08,Open
4500000315,00010,0000700015,Ironwood Supply Ltd,MAT-100050,Industrial gearbox,46.0,324.83,USD,NT45,2026-01-22,Open
4500000316,00010,0000700016,Juniper Technologies Oy,MAT-100060,Steel plate 10mm,50.0,104.29,EUR,NT30,2026-02-15,Open
4500000317,00010,0000700017,Larkspur Manufacturing AG,MAT-100070,Filter cartridge,15.0,183.19,USD,NT45,2026-04-10,Open
4500000318,00010,0000700018,Meridian Logistics AS,MAT-100080,Sensor module,26.0,377.72,EUR,NT60,2026-01-16,Open
4500000319,00010,0000700019,Northgate Industrie GmbH,MAT-100090,Coupling flange,50.0,403.58,USD,NT30,2026-04-01,Open
4500000320,00010,0000700020,Orchard Components SA,MAT-100100,Pump impeller,60.0,41.17,GBP,NT45,2026-02-08,Open
4500000321,00010,0000700021,Pinnacle Manufacturing AG,MAT-100010,Stainless bearing type A,22.0,419.7,EUR,NT45,2026-03-13,Open
4500000322,00010,0000700022,Quarry Materials SpA,MAT-100020,Hydraulic seal kit,54.0,521.38,EUR,NT30,2026-02-17,Open
4500000323,00010,0000700023,Redstone Industrie GmbH,MAT-100030,Control valve 2in,49.0,281.83,EUR,NT45,2026-01-10,Open
4500000324,00010,0000700024,Summit Manufacturing AG,MAT-100040,Copper cable reel,18.0,149.13,USD,NT60,2026-01-13,Open
4500000325,00010,0000700025,Thornbury Components SA,MAT-100050,Industrial gearbox,23.0,377.91,EUR,NT30,2026-04-07,Open
4500000326,00010,0000700026,Umbra Systems Inc,MAT-100060,Steel plate 10mm,53.0,204.6,EUR,NT45,2026-03-23,Open
4500000327,00010,0000700027,Valemont Manufacturing AG,MAT-100070,Filter cartridge,43.0,293.94,EUR,NT60,2026-01-11,Open
4500000328,00010,0000700028,Westford Trading BV,MAT-100080,Sensor module,9.0,572.57,USD,NT60,2026-03-26,Open
4500000329,00010,0000700029,Yarrow Supply Ltd,MAT-100090,Coupling flange,33.0,251.32,USD,NT45,2026-04-07,Open
4500000330,00010,0000700030,Zenith Materials SpA,MAT-100100,Pump impeller,13.0,264.99,EUR,NT60,2026-03-03,Open
4500000331,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,25.0,369.02,EUR,NT30,2026-04-14,Open
4500000332,00010,0000700002,Bluepeak Manufacturing AG,MAT-100020,Hydraulic seal kit,10.0,283.23,EUR,NT30,2026-02-21,Open
4500000333,00010,0000700003,Vertex Trading BV,MAT-100030,Control valve 2in,27.0,172.68,EUR,NT30,2026-01-04,Open
4500000334,00010,0000700004,Ravenna Trading BV,MAT-100040,Copper cable reel,34.0,204.15,EUR,NT45,2026-01-01,Open
4500000335,00010,0000700005,Kestrel Supply Ltd,MAT-100050,Industrial gearbox,32.0,94.61,EUR,NT30,2026-01-29,Open
4500000336,00010,0000700006,Alpenrose Logistics AS,MAT-100060,Steel plate 10mm,4.0,50.86,EUR,NT45,2026-03-18,Open
4500000337,00010,0000700007,Silverline Components SA,MAT-100070,Filter cartridge,21.0,258.24,GBP,NT60,2026-04-19,Open
4500000338,00010,0000700008,Bramble Technologies Oy,MAT-100080,Sensor module,39.0,213.45,EUR,NT60,2026-05-03,Open
4500000339,00010,0000700009,Cobalt Systems Inc,MAT-100090,Coupling flange,33.0,245.85,EUR,NT60,2026-01-27,Open
4500000340,00010,0000700010,Driftwood Industrie GmbH,MAT-100100,Pump impeller,57.0,96.02,USD,NT45,2026-04-24,Open
4500000341,00010,0000700011,Ember Materials SpA,MAT-100010,Stainless bearing type A,16.0,460.14,EUR,NT60,2026-04-27,Open
4500000342,00010,0000700012,Fairmont Systems Inc,MAT-100020,Hydraulic seal kit,8.0,361.76,EUR,NT30,2026-02-17,Open
4500000343,00010,0000700013,Granite Trading BV,MAT-100030,Control valve 2in,6.0,459.32,GBP,NT30,2026-05-06,Open
4500000344,00010,0000700014,Harbourview Components SA,MAT-100040,Copper cable reel,58.0,319.87,EUR,NT45,2026-01-05,Open
4500000345,00010,0000700015,Ironwood Supply Ltd,MAT-100050,Industrial gearbox,33.0,67.03,EUR,NT60,2026-02-11,Open
4500000346,00010,0000700016,Juniper Technologies Oy,MAT-100060,Steel plate 10mm,1.0,539.49,EUR,NT60,2026-04-05,Open
4500000347,00010,0000700017,Larkspur Manufacturing AG,MAT-100070,Filter cartridge,20.0,92.58,USD,NT60,2026-01-20,Open
4500000348,00010,0000700018,Meridian Logistics AS,MAT-100080,Sensor module,21.0,255.53,USD,NT30,2026-04-29,Open
4500000349,00010,0000700019,Northgate Industrie GmbH,MAT-100090,Coupling flange,54.0,468.8,GBP,NT45,2026-01-25,Open
4500000350,00010,0000700020,Orchard Components SA,MAT-100100,Pump impeller,36.0,42.75,EUR,NT30,2026-01-02,Open
4500000351,00010,0000700021,Pinnacle Manufacturing AG,MAT-100010,Stainless bearing type A,28.0,380.33,EUR,NT45,2026-03-28,Open
4500000352,00010,0000700022,Quarry Materials SpA,MAT-100020,Hydraulic seal kit,57.0,48.75,GBP,NT45,2026-03-15,Open
4500000353,00010,0000700023,Redstone Industrie GmbH,MAT-100030,Control valve 2in,22.0,486.58,EUR,NT60,2026-01-23,Open
4500000354,00010,0000700024,Summit Manufacturing AG,MAT-100040,Copper cable reel,9.0,347.86,EUR,NT30,2026-02-25,Open
4500000355,00010,0000700025,Thornbury Components SA,MAT-100050,Industrial gearbox,28.0,455.33,GBP,NT45,2026-04-25,Open
4500000356,00010,0000700026,Umbra Systems Inc,MAT-100060,Steel plate 10mm,17.0,426.88,USD,NT45,2026-03-10,Open
4500000357,00010,0000700027,Valemont Manufacturing AG,MAT-100070,Filter cartridge,31.0,597.05,EUR,NT60,2026-03-23,Open
4500000358,00010,0000700028,Westford Trading BV,MAT-100080,Sensor module,13.0,107.77,USD,NT60,2026-01-15,Open
4500000359,00010,0000700029,Yarrow Supply Ltd,MAT-100090,Coupling flange,54.0,493.05,GBP,NT30,2026-04-08,Open
4500000360,00010,0000700030,Zenith Materials SpA,MAT-100100,Pump impeller,43.0,344.9,EUR,NT30,2026-05-10,Open
4500000361,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,4.0,46.97,EUR,NT60,2026-02-17,Open
4500000362,00010,0000700002,Bluepeak Manufacturing AG,MAT-100020,Hydraulic seal kit,39.0,292.6,USD,NT45,2026-03-18,Open
4500000363,00010,0000700003,Vertex Trading BV,MAT-100030,Control valve 2in,4.0,453.27,EUR,NT45,2026-04-11,Open
4500000364,00010,0000700004,Ravenna Trading BV,MAT-100040,Copper cable reel,7.0,237.43,EUR,NT45,2026-05-10,Open
4500000365,00010,0000700005,Kestrel Supply Ltd,MAT-100050,Industrial gearbox,49.0,468.86,USD,NT30,2026-02-06,Open
4500000366,00010,0000700006,Alpenrose Logistics AS,MAT-100060,Steel plate 10mm,55.0,289.82,EUR,NT60,2026-01-03,Open
4500000367,00010,0000700007,Silverline Components SA,MAT-100070,Filter cartridge,18.0,96.14,EUR,NT30,2026-04-19,Open
4500000368,00010,0000700008,Bramble Technologies Oy,MAT-100080,Sensor module,15.0,572.87,EUR,NT60,2026-02-16,Open
4500000369,00010,0000700009,Cobalt Systems Inc,MAT-100090,Coupling flange,14.0,392.93,USD,NT45,2026-04-17,Open
4500000370,00010,0000700010,Driftwood Industrie GmbH,MAT-100100,Pump impeller,56.0,320.35,EUR,NT45,2026-04-29,Open
4500000371,00010,0000700011,Ember Materials SpA,MAT-100010,Stainless bearing type A,23.0,461.58,GBP,NT45,2026-02-24,Open
4500000372,00010,0000700012,Fairmont Systems Inc,MAT-100020,Hydraulic seal kit,18.0,324.62,EUR,NT45,2026-02-26,Open
4500000373,00010,0000700013,Granite Trading BV,MAT-100030,Control valve 2in,36.0,147.02,EUR,NT45,2026-01-01,Open
4500000374,00010,0000700014,Harbourview Components SA,MAT-100040,Copper cable reel,50.0,528.5,EUR,NT60,2026-04-03,Open
4500000375,00010,0000700015,Ironwood Supply Ltd,MAT-100050,Industrial gearbox,51.0,44.28,GBP,NT45,2026-03-18,Open
4500000376,00010,0000700016,Juniper Technologies Oy,MAT-100060,Steel plate 10mm,11.0,108.42,GBP,NT30,2026-01-09,Open
4500000377,00010,0000700017,Larkspur Manufacturing AG,MAT-100070,Filter cartridge,1.0,126.04,EUR,NT45,2026-02-10,Open
4500000378,00010,0000700018,Meridian Logistics AS,MAT-100080,Sensor module,37.0,92.98,USD,NT30,2026-02-09,Open
4500000379,00010,0000700019,Northgate Industrie GmbH,MAT-100090,Coupling flange,12.0,517.83,EUR,NT45,2026-01-16,Open
4500000380,00010,0000700020,Orchard Components SA,MAT-100100,Pump impeller,32.0,156.47,GBP,NT30,2026-05-04,Open
4500000381,00010,0000700021,Pinnacle Manufacturing AG,MAT-100010,Stainless bearing type A,9.0,401.43,EUR,NT60,2026-01-26,Open
4500000382,00010,0000700022,Quarry Materials SpA,MAT-100020,Hydraulic seal kit,41.0,358.83,EUR,NT60,2026-03-18,Open
4500000383,00010,0000700023,Redstone Industrie GmbH,MAT-100030,Control valve 2in,51.0,368.49,EUR,NT45,2026-04-16,Open
4500000384,00010,0000700024,Summit Manufacturing AG,MAT-100040,Copper cable reel,34.0,258.27,EUR,NT60,2026-04-08,Open
4500000385,00010,0000700025,Thornbury Components SA,MAT-100050,Industrial gearbox,40.0,382.88,EUR,NT30,2026-02-27,Open
4500000386,00010,0000700026,Umbra Systems Inc,MAT-100060,Steel plate 10mm,15.0,373.21,EUR,NT30,2026-02-27,Open
4500000387,00010,0000700027,Valemont Manufacturing AG,MAT-100070,Filter cartridge,40.0,255.19,USD,NT30,2026-04-07,Open
4500000388,00010,0000700028,Westford Trading BV,MAT-100080,Sensor module,54.0,399.33,GBP,NT45,2026-05-03,Open
4500000389,00010,0000700029,Yarrow Supply Ltd,MAT-100090,Coupling flange,40.0,489.95,EUR,NT30,2026-01-27,Open
4500000390,00010,0000700030,Zenith Materials SpA,MAT-100100,Pump impeller,29.0,238.8,EUR,NT45,2026-04-15,Open
4500000391,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,9.0,464.02,USD,NT30,2026-01-29,Open
4500000392,00010,0000700002,Bluepeak Manufacturing AG,MAT-100020,Hydraulic seal kit,6.0,321.56,EUR,NT60,2026-03-09,Open
4500000393,00010,0000700003,Vertex Trading BV,MAT-100030,Control valve 2in,50.0,50.3,EUR,NT45,2026-03-12,Open
4500000394,00010,0000700004,Ravenna Trading BV,MAT-100040,Copper cable reel,18.0,94.02,EUR,NT45,2026-04-08,Open
4500000395,00010,0000700005,Kestrel Supply Ltd,MAT-100050,Industrial gearbox,39.0,94.96,EUR,NT60,2026-03-21,Open
4500000396,00010,0000700006,Alpenrose Logistics AS,MAT-100060,Steel plate 10mm,12.0,469.46,EUR,NT45,2026-04-30,Open
4500000397,00010,0000700007,Silverline Components SA,MAT-100070,Filter cartridge,60.0,473.42,USD,NT45,2026-05-11,Open
4500000398,00010,0000700008,Bramble Technologies Oy,MAT-100080,Sensor module,15.0,91.13,GBP,NT45,2026-04-13,Open
4500000399,00010,0000700009,Cobalt Systems Inc,MAT-100090,Coupling flange,57.0,448.19,EUR,NT60,2026-01-04,Open
4500000400,00010,0000700010,Driftwood Industrie GmbH,MAT-100100,Pump impeller,52.0,595.3,GBP,NT45,2026-02-27,Open
4590000401,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,10.0,100.0,EUR,NT30,2026-03-01,Open
4590000402,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,10.0,100.0,EUR,NT30,2026-03-01,Open
4590000403,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,5.0,80.0,EUR,NT30,2026-03-01,Open
4590000404,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,7.0,120.0,EUR,NT30,2026-03-01,Open
4590000405,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,6.0,110.0,EUR,NT30,2026-03-01,Open
4590000406,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,10.0,100.0,EUR,NT30,2026-03-01,Open
4590000407,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,10.0,100.0,EUR,NT30,2026-03-01,Open
4590000408,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,10.0,100.0,EUR,NT30,2026-03-01,Open
4590000409,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,10.0,100.0,EUR,NT30,2026-03-01,Open
4590000410,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,10.0,100.0,EUR,NT30,2026-03-01,Open
4590000411,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,10.0,100.0,EUR,NT30,2026-03-01,Open
4590000412,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,10.0,100.0,EUR,NT30,2026-01-15,Open
4590000413,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,10.0,100.0,EUR,NT30,2026-01-16,Open
4590000414,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,10.0,100.0,EUR,NT30,2026-03-01,Open
4590000415,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,10.0,100.0,EUR,NT30,2026-04-01,Open
4590000416,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,10.0,100.0,EUR,NT30,2026-03-01,Open
4590000417,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,10.0,100.0,EUR,NT30,2026-05-01,Open
4590000418,00010,0000700001,Nordwind Industrie GmbH,MAT-100010,Stainless bearing type A,10.0,100.0,EUR,NT30,2026-01-17,Closed
