EBELN,EBELP,LIFNR,NAME1,MATNR,TXZ01,MATKL,BUKRS,EKORG,EKGRP,WERKS,MENGE,MEINS,NETPR,WAERS,NETWR,BEDAT,EINDT,BUDAT,KONNR,ZTERM,FRGKE,ERNAM,AENAM,CHANGE_COUNT
4500138,00010,0000100015,Ironwood Components SA,MAT-100378,Precision pulley type 15 (IT hardware),MG40,3000,3000,P02,3010,6.0,EA,1774.43,GBP,10646.58,2025-01-15,2025-02-20,2025-02-18,,NT30,Approved,BUYER03,BUYER03,4
4500138,00020,0000100015,Ironwood Components SA,MAT-100483,Insulated coupling type 30 (Laboratory equipment),MG55,3000,3000,P02,3010,9.0,EA,2224.26,GBP,20018.34,2025-01-15,2025-02-20,2025-02-18,460015683,NT30,Approved,BUYER03,BUYER03,2
4500139,00010,0000100015,Ironwood Components SA,MAT-100483,Insulated coupling type 30 (Laboratory equipment),MG55,3000,3000,P06,3010,11.0,EA,2208.04,GBP,24288.44,2025-02-18,2025-02-28,2025-02-24,460015683,NT30,Approved,BUYER11,BUYER11,2
4500140,00010,0000100015,Ironwood Components SA,MAT-100371,Modular filter type 14 (Office and facility supplies),MG35,3000,3000,P03,3010,247.0,PC,61.38,GBP,15160.86,2025-04-04,2025-04-27,2025-04-25,460015571,NT30,Approved,BUYER01,BUYER01,3
4500141,00010,0000100015,Ironwood Components SA,MAT-100378,Precision pulley type 15 (IT hardware),MG40,3000,3000,P04,3010,4.0,EA,1681.81,GBP,6727.24,2025-05-06,2025-06-12,2025-06-12,,NT30,Approved,BUYER10,BUYER10,1
4500141,00020,0000100015,Ironwood Components SA,MAT-100371,Modular filter type 14 (Office and facility supplies),MG35,3000,3000,P04,3010,337.0,PC,63.47,GBP,21389.39,2025-05-06,2025-06-12,2025-06-12,460015571,NT30,Approved,BUYER10,BUYER10,4
4500142,00010,0000100015,Ironwood Components SA,MAT-100371,Modular filter type 14 (Office and facility supplies),MG35,3000,3000,P05,3010,105.0,PC,60.7,GBP,6373.5,2025-06-04,2025-07-03,2025-07-06,460015571,NT30,Approved,BUYER07,BUYER11,16
4500143,00010,0000100015,Ironwood Components SA,MAT-100483,Insulated coupling type 30 (Laboratory equipment),MG55,3000,3000,P01,3010,6.0,EA,2241.93,GBP,13451.58,2025-07-23,2025-08-15,2025-08-18,460015683,NT30,Approved,BUYER04,BUYER04,4
4500143,00020,0000100015,Ironwood Components SA,MAT-100378,Precision pulley type 15 (IT hardware),MG40,3000,3000,P01,3010,6.0,EA,1677.49,GBP,10064.94,2025-07-23,2025-08-15,2025-08-18,,NT30,Approved,BUYER04,BUYER04,1
4500143,00030,0000100015,Ironwood Components SA,MAT-100371,Modular filter type 14 (Office and facility supplies),MG35,3000,3000,P01,3010,118.0,PC,62.75,GBP,7404.5,2025-07-23,2025-08-15,2025-08-18,460015571,NT30,Approved,BUYER04,BUYER04,4
4500144,00010,0000100015,Ironwood Components SA,MAT-100483,Insulated coupling type 30 (Laboratory equipment),MG55,3000,3000,P05,3010,8.0,EA,2186.9,GBP,17495.2,2025-08-27,2025-09-09,2025-09-07,460015683,NT30,Approved,BUYER10,BUYER10,1
4500144,00020,0000100015,Ironwood Components SA,MAT-100371,Modular filter type 14 (Office and facility supplies),MG35,3000,3000,P05,3010,56.0,PC,59.69,GBP,3342.64,2025-08-27,2025-09-09,2025-09-07,460015571,NT30,Approved,BUYER10,BUYER10,0
4500144,00030,0000100015,Ironwood Components SA,MAT-100378,Precision pulley type 15 (IT hardware),MG40,3000,3000,P05,3010,7.23,EA,1773.67,GBP,12823.63,2025-08-27,2025-09-09,2025-09-07,,NT30,Approved,BUYER10,BUYER10,4
4500145,00010,0000100015,Ironwood Components SA,MAT-100371,Modular filter type 14 (Office and facility supplies),MG35,3000,3000,P04,3010,119.0,PC,60.35,GBP,7181.65,2025-09-26,2025-10-19,2025-10-15,460015571,NT30,Approved,BUYER05,BUYER05,1
4500145,00020,0000100015,Ironwood Components SA,MAT-100483,Insulated coupling type 30 (Laboratory equipment),MG55,3000,3000,P04,3010,10.0,EA,2312.9,GBP,23129.0,2025-09-26,2025-10-19,2025-10-15,460015683,NT30,Approved,BUYER05,BUYER05,3
4500145,00030,0000100015,Ironwood Components SA,MAT-100378,Precision pulley type 15 (IT hardware),MG40,3000,3000,P04,3010,9.0,EA,1710.47,GBP,15394.23,2025-09-26,2025-10-19,2025-10-15,,NT30,Approved,BUYER05,BUYER05,1
4500146,00010,0000100015,Ironwood Components SA,MAT-100378,Precision pulley type 15 (IT hardware),MG40,3000,3000,P06,3010,9.0,EA,1711.9,GBP,15407.1,2025-11-10,2025-11-30,2025-11-29,,NT30,Approved,BUYER11,BUYER11,4
4500146,00020,0000100015,Ironwood Components SA,MAT-100371,Modular filter type 14 (Office and facility supplies),MG35,3000,3000,P06,3010,126.0,PC,61.93,GBP,7803.18,2025-11-10,2025-11-30,2026-01-31,460015571,NT30,Approved,BUYER11,BUYER11,0
4500146,00030,0000100015,Ironwood Components SA,MAT-100483,Insulated coupling type 30 (Laboratory equipment),MG55,3000,3000,P06,3010,11.0,EA,2281.9,GBP,25100.9,2025-11-10,2025-11-30,2025-11-29,460015683,NT30,Approved,BUYER11,BUYER11,3
4500147,00010,0000100016,Juniper Trading BV,MAT-100203,Compact seal ring type 30 (Office and facility supplies),MG35,4000,4000,P04,4010,376.0,PC,26.25,CHF,9870.0,2025-01-13,2025-02-18,2025-02-20,460016403,Z060,Approved,BUYER08,BUYER08,2
4500147,00020,0000100016,Juniper Trading BV,MAT-100399,Reinforced terminal block type 18 (Laboratory equipment),MG55,4000,4000,P04,4010,9.0,EA,2272.51,CHF,20452.59,2025-01-13,2025-02-18,2025-02-20,460016599,Z060,Approved,BUYER08,BUYER08,2
4500148,00010,0000100016,Juniper Trading BV,MAT-100399,Reinforced terminal block type 18 (Laboratory equipment),MG55,4000,4000,P04,4010,8.0,EA,2205.5,CHF,17644.0,2025-02-21,2025-03-05,2025-03-01,460016599,Z060,Approved,BUYER09,BUYER09,0
4500148,00020,0000100016,Juniper Trading BV,MAT-100203,Compact seal ring type 30 (Office and facility supplies),MG35,4000,4000,P04,4010,113.0,PC,27.06,CHF,3057.78,2025-02-21,2025-03-05,2025-03-01,460016403,Z060,Approved,BUYER09,BUYER09,0
4500149,00010,0000100016,Juniper Trading BV,MAT-100399,Reinforced terminal block type 18 (Laboratory equipment),MG55,4000,4000,P02,4010,3.0,EA,2270.6,CHF,6811.8,2025-04-12,2025-05-09,2025-05-10,460016599,Z060,Approved,BUYER04,BUYER04,1
4500149,00020,0000100016,Juniper Trading BV,MAT-100203,Compact seal ring type 30 (Office and facility supplies),MG35,4000,4000,P02,4010,343.0,PC,25.85,CHF,8866.55,2025-04-12,2025-05-09,2025-05-10,460016403,Z060,Approved,BUYER04,BUYER04,3
4500150,00010,0000100016,Juniper Trading BV,MAT-100399,Reinforced terminal block type 18 (Laboratory equipment),MG55,4000,4000,P01,4010,5.0,EA,2387.38,CHF,11936.9,2025-05-13,2025-06-18,2025-06-15,460016599,Z060,Approved,BUYER12,BUYER12,3
4500150,00020,0000100016,Juniper Trading BV,MAT-100203,Compact seal ring type 30 (Office and facility supplies),MG35,4000,4000,P01,4010,369.0,PC,27.07,CHF,9988.83,2025-05-13,2025-06-18,2025-06-15,460016403,Z060,Approved,BUYER12,BUYER12,3
4500151,00010,0000100016,Juniper Trading BV,MAT-100399,Reinforced terminal block type 18 (Laboratory equipment),MG55,4000,4000,P06,4010,11.0,EA,2252.19,CHF,24774.09,2025-06-16,2025-07-20,2025-07-19,460016599,Z060,Approved,BUYER10,BUYER10,2
4500151,00020,0000100016,Juniper Trading BV,MAT-100203,Compact seal ring type 30 (Office and facility supplies),MG35,4000,4000,P06,4010,85.0,PC,26.39,CHF,2243.15,2025-06-16,2025-07-20,2025-07-19,460016403,Z060,Approved,BUYER10,BUYER10,4
4500152,00010,0000100016,Juniper Trading BV,MAT-100203,Compact seal ring type 30 (Office and facility supplies),MG35,4000,4000,P04,4010,32.0,PC,25.89,CHF,828.48,2025-07-27,2025-08-09,2025-08-05,460016403,Z060,Open,BUYER03,BUYER03,3
4500153,00010,0000100016,Juniper Trading BV,MAT-100203,Compact seal ring type 30 (Office and facility supplies),MG35,4000,4000,P01,4010,96.0,PC,27.18,CHF,2609.28,2025-09-05,2025-09-29,2025-09-29,460016403,Z060,Approved,BUYER06,BUYER06,2
4500153,00020,0000100016,Juniper Trading BV,MAT-100399,Reinforced terminal block type 18 (Laboratory equipment),MG55,4000,4000,P01,4010,1.0,EA,2173.19,CHF,2173.19,2025-09-05,2025-09-29,2025-09-29,460016599,Z060,Approved,BUYER06,BUYER06,0
4500154,00010,0000100016,Juniper Trading BV,MAT-100399,Reinforced terminal block type 18 (Laboratory equipment),MG55,4000,4000,P03,4010,1.0,EA,2316.78,CHF,2316.78,2025-10-17,2025-10-28,2025-10-30,460016599,Z060,Approved,BUYER11,BUYER11,4
4500154,00020,0000100016,Juniper Trading BV,MAT-100203,Compact seal ring type 30 (Office and facility supplies),MG35,4000,4000,P03,4010,166.0,PC,26.1,CHF,4332.6,2025-10-17,2025-10-28,2025-10-30,460016403,Z060,Approved,BUYER11,BUYER11,0
4500155,00010,0000100017,Larkspur Components SA,MAT-100462,High-temperature filter type 27 (IT hardware),MG40,1000,1000,P06,1010,45.0,PC,251.22,EUR,11304.9,2025-01-12,2025-02-14,2025-02-14,,Z060,Approved,BUYER07,BUYER07,3
4500155,00020,0000100017,Larkspur Components SA,MAT-100133,Heavy-duty spindle type 20 (Maintenance services),MG45,1000,1000,P06,1010,26.0,EA,148.0,EUR,3848.0,2025-01-12,2025-02-14,2025-02-14,460017333,Z060,Approved,BUYER07,BUYER07,0
4500156,00010,0000100017,Larkspur Components SA,MAT-100462,High-temperature filter type 27 (IT hardware),MG40,1000,1000,P02,1020,36.0,PC,266.57,EUR,9596.52,2025-02-09,2025-03-26,2025-03-26,,Z060,Approved,BUYER07,BUYER07,4
4500156,00020,0000100017,Larkspur Components SA,MAT-100469,Insulated filter type 28 (Maintenance services),MG45,1000,1000,P02,1020,55.0,EA,177.36,EUR,9754.8,2025-02-09,2025-03-26,2025-03-26,460017669,Z060,Approved,BUYER07,BUYER07,4
4500156,00030,0000100017,Larkspur Components SA,MAT-100133,Heavy-duty spindle type 20 (Maintenance services),MG45,1000,1000,P02,1020,37.0,EA,147.83,EUR,5469.71,2025-02-09,2025-03-26,2025-03-26,460017333,Z060,Approved,BUYER07,BUYER07,0
4500157,00010,0000100017,Larkspur Components SA,MAT-100378,Precision pulley type 15 (IT hardware),MG40,1000,1000,P03,1010,8.0,EA,2088.83,EUR,16710.64,2025-03-05,2025-03-24,2025-03-27,,Z060,Approved,BUYER05,BUYER05,0
4500157,00020,0000100017,Larkspur Components SA,MAT-100133,Heavy-duty spindle type 20 (Maintenance services),MG45,1000,1000,P03,1010,6.0,EA,145.19,EUR,871.14,2025-03-05,2025-03-24,2025-03-27,460017333,Z060,Approved,BUYER05,BUYER05,2
4500157,00030,0000100017,Larkspur Components SA,MAT-100469,Insulated filter type 28 (Maintenance services),MG45,1000,1000,P03,1010,7.0,EA,191.77,EUR,1342.39,2025-03-05,2025-03-24,2025-03-27,460017669,Z060,Approved,BUYER05,BUYER05,3
4500158,00010,0000100017,Larkspur Components SA,MAT-100462,High-temperature filter type 27 (IT hardware),MG40,1000,1000,P03,1010,12.0,PC,254.16,EUR,3049.92,2025-03-31,2025-04-24,2025-04-24,,Z060,Approved,BUYER09,BUYER09,3
4500158,00020,0000100017,Larkspur Components SA,MAT-100469,Insulated filter type 28 (Maintenance services),MG45,1000,1000,P03,1010,47.0,EA,190.43,EUR,8950.21,2025-03-31,2025-04-24,2025-04-24,460017669,Z060,Approved,BUYER09,BUYER09,0
4500159,00010,0000100017,Larkspur Components SA,MAT-100462,High-temperature filter type 27 (IT hardware),MG40,1000,1000,P03,1020,52.0,PC,264.49,EUR,13753.48,2025-04-29,2025-06-11,2025-06-12,,Z060,Approved,BUYER06,BUYER06,4
4500159,00020,0000100017,Larkspur Components SA,MAT-100378,Precision pulley type 15 (IT hardware),MG40,1000,1000,P03,1020,1.0,EA,2009.82,EUR,2009.82,2025-04-29,2025-06-11,2025-06-12,,Z060,Approved,BUYER06,BUYER06,1
4500160,00010,0000100017,Larkspur Components SA,MAT-100378,Precision pulley type 15 (IT hardware),MG40,1000,1000,P01,1020,7.0,EA,2114.32,EUR,14800.24,2025-05-28,2025-07-03,2025-07-01,,Z060,Approved,BUYER03,BUYER03,2
4500160,00020,0000100017,Larkspur Components SA,MAT-100469,Insulated filter type 28 (Maintenance services),MG45,1000,1000,P01,1020,28.0,EA,182.64,EUR,5113.92,2025-05-28,2025-07-03,2025-07-01,460017669,Z060,Approved,BUYER03,BUYER03,0
4500160,00030,0000100017,Larkspur Components SA,MAT-100308,Industrial spindle type 5 (Logistics and freight),MG50,1000,1000,P01,1020,54.0,H,454.32,EUR,24533.28,2025-05-28,2025-07-03,2025-07-01,460017508,Z060,Approved,BUYER03,BUYER03,0
4500161,00010,0000100017,Larkspur Components SA,MAT-100308,Industrial spindle type 5 (Logistics and freight),MG50,1000,1000,P06,1010,40.0,H,433.37,EUR,17334.8,2025-06-26,2025-07-30,2025-07-25,460017508,Z060,Approved,BUYER07,BUYER07,1
4500162,00010,0000100017,Larkspur Components SA,MAT-100133,Heavy-duty spindle type 20 (Maintenance services),MG45,1000,1000,P05,1020,10.0,EA,143.58,EUR,1435.8,2025-07-26,2025-09-05,2025-09-01,460017333,Z060,Approved,BUYER09,BUYER09,0
4500162,00020,0000100017,Larkspur Components SA,MAT-100462,High-temperature filter type 27 (IT hardware),MG40,1000,1000,P05,1020,24.0,PC,255.74,EUR,6137.76,2025-07-26,2025-09-05,2025-09-01,,Z060,Approved,BUYER09,BUYER09,0
4500163,00010,0000100017,Larkspur Components SA,MAT-100469,Insulated filter type 28 (Maintenance services),MG45,1000,1000,P01,1020,8.0,EA,183.07,EUR,1464.56,2025-08-24,2025-09-06,2025-09-06,460017669,Z060,Approved,BUYER05,BUYER05,2
4500163,00020,0000100017,Larkspur Components SA,MAT-100308,Industrial spindle type 5 (Logistics and freight),MG50,1000,1000,P01,1020,11.0,H,414.84,EUR,4563.24,2025-08-24,2025-09-06,2025-09-06,460017508,Z060,Approved,BUYER05,BUYER05,3
4500164,00010,0000100017,Larkspur Components SA,MAT-100308,Industrial spindle type 5 (Logistics and freight),MG50,1000,1000,P02,1010,16.0,H,434.9,EUR,6958.4,2025-09-30,2025-10-12,2025-10-13,460017508,Z060,Approved,BUYER07,BUYER07,3
4500164,00020,0000100017,Larkspur Components SA,MAT-100462,High-temperature filter type 27 (IT hardware),MG40,1000,1000,P02,1010,8.0,PC,274.52,EUR,2196.16,2025-09-30,2025-10-12,2025-10-13,,Z060,Approved,BUYER07,BUYER07,0
4500165,00010,0000100017,Larkspur Components SA,MAT-100133,Heavy-duty spindle type 20 (Maintenance services),MG45,1000,1000,P05,1010,40.48,EA,147.97,EUR,5989.83,2025-10-31,2025-11-28,2025-12-01,460017333,Z060,Open,BUYER04,BUYER04,4
4500165,00020,0000100017,Larkspur Components SA,MAT-100462,High-temperature filter type 27 (IT hardware),MG40,1000,1000,P05,1010,10.56,PC,252.77,EUR,2669.25,2025-10-31,2025-11-28,2025-12-01,,Z060,Open,BUYER04,BUYER04,3
4500166,00010,0000100017,Larkspur Components SA,MAT-100462,High-temperature filter type 27 (IT hardware),MG40,1000,1000,P01,1020,36.0,PC,251.32,EUR,9047.52,2025-11-24,2025-12-12,2025-12-14,,Z060,Approved,BUYER07,BUYER07,4
4500166,00020,0000100017,Larkspur Components SA,MAT-100469,Insulated filter type 28 (Maintenance services),MG45,1000,1000,P01,1020,27.0,EA,185.78,EUR,5016.06,2025-11-24,2025-12-12,2025-12-14,460017669,Z060,Approved,BUYER07,BUYER07,3
4500166,00030,0000100017,Larkspur Components SA,MAT-100133,Heavy-duty spindle type 20 (Maintenance services),MG45,1000,1000,P01,1020,26.0,EA,199.84,EUR,5195.84,2025-11-24,2025-12-12,2025-12-14,460017333,Z060,Approved,BUYER07,BUYER07,4
4500167,00010,0000100018,Meridian Technologies Oy,MAT-100504,Industrial terminal block type 33 (Electrical components),MG10,2000,2000,P02,2020,32.0,EA,292.31,USD,9353.92,2025-01-06,2025-02-03,2025-02-03,,NT60,Approved,BUYER02,BUYER02,0
4500168,00010,0000100018,Meridian Technologies Oy,MAT-100504,Industrial terminal block type 33 (Electrical components),MG10,2000,2000,P04,2010,13.0,EA,296.78,USD,3858.14,2025-02-03,2025-03-12,2025-03-10,,NT60,Approved,BUYER02,BUYER02,3
4500169,00010,0000100018,Meridian Technologies Oy,MAT-100504,Industrial terminal block type 33 (Electrical components),MG10,2000,2000,P03,2010,47.0,EA,276.38,USD,12989.86,2025-03-03,2025-03-20,2025-03-22,,NT60,Approved,BUYER08,BUYER08,2
4500170,00010,0000100018,Meridian Technologies Oy,MAT-100504,Industrial terminal block type 33 (Electrical components),MG10,2000,2000,P04,2010,6.0,EA,288.59,USD,1731.54,2025-03-29,2025-04-11,2025-04-07,,NT60,Open,BUYER09,BUYER09,2
4500171,00010,0000100018,Meridian Technologies Oy,MAT-100504,Industrial terminal block type 33 (Electrical components),MG10,2000,2000,P01,2020,13.0,EA,278.24,USD,3617.12,2025-04-30,2025-06-09,2025-06-07,,NT60,Approved,BUYER04,BUYER04,2
4500172,00010,0000100018,Meridian Technologies Oy,MAT-100504,Industrial terminal block type 33 (Electrical components),MG10,2000,2000,P01,2020,29.0,EA,287.5,USD,8337.5,2025-06-01,2025-06-16,2025-06-18,,NT60,Approved,BUYER02,BUYER02,0
4500173,00010,0000100018,Meridian Technologies Oy,MAT-100504,Industrial terminal block type 33 (Electrical components),MG10,2000,2000,P03,2020,31.0,EA,282.15,USD,8746.65,2025-07-04,2025-08-10,2025-08-08,,NT60,Open,BUYER09,BUYER09,4
4500174,00010,0000100018,Meridian Technologies Oy,MAT-100504,Industrial terminal block type 33 (Electrical components),MG10,2000,2000,P01,2010,11.0,EA,273.77,USD,3011.47,2025-08-08,2025-08-23,2025-08-20,,NT60,Open,BUYER01,BUYER01,3
4500175,00010,0000100018,Meridian Technologies Oy,MAT-100504,Industrial terminal block type 33 (Electrical components),MG10,2000,2000,P04,2020,44.0,EA,285.47,USD,12560.68,2025-09-01,2025-09-23,2025-09-24,,NT60,Approved,BUYER11,BUYER11,13
4500176,00010,0000100018,Meridian Technologies Oy,MAT-100504,Industrial terminal block type 33 (Electrical components),MG10,2000,2000,P02,2010,5.0,EA,291.6,USD,1458.0,2025-09-29,2025-11-13,2025-11-10,,NT60,Approved,BUYER07,BUYER07,3
4500177,00010,0000100018,Meridian Technologies Oy,MAT-100504,Industrial terminal block type 33 (Electrical components),MG10,2000,2000,P02,2020,27.0,EA,274.41,USD,7409.07,2025-10-22,2025-11-30,2025-11-30,,NT60,Approved,BUYER03,BUYER03,0
4500178,00010,0000100018,Meridian Technologies Oy,MAT-100504,Industrial terminal block type 33 (Electrical components),MG10,2000,2000,P06,2010,12.0,EA,273.38,USD,3280.56,2025-11-24,2025-12-15,2025-12-10,,NT60,Approved,BUYER01,BUYER01,4
4500179,00010,0000100019,Northgate Logistics AS,MAT-100168,Reinforced cartridge type 25 (Electrical components),MG10,3000,3000,P01,3010,218.0,EA,27.23,GBP,5936.14,2025-01-19,2025-02-25,2025-02-28,,NT60,Open,BUYER03,BUYER03,4
4500180,00010,0000100019,Northgate Logistics AS,MAT-100168,Reinforced cartridge type 25 (Electrical components),MG10,3000,3000,P06,3010,64.0,EA,28.79,GBP,1842.56,2025-03-03,2025-03-20,2025-03-16,,NT60,Approved,BUYER10,BUYER10,0
4500181,00010,0000100019,Northgate Logistics AS,MAT-100168,Reinforced cartridge type 25 (Electrical components),MG10,3000,3000,P05,3010,254.0,EA,29.57,GBP,7510.78,2025-04-11,2025-03-29,2025-05-06,,NT60,Approved,BUYER12,BUYER12,1
4500182,00010,0000100019,Northgate Logistics AS,MAT-100168,Reinforced cartridge type 25 (Electrical components),MG10,3000,3000,P03,3010,317.0,EA,27.22,GBP,8628.74,2025-05-11,2025-05-27,2025-05-24,,NT60,Approved,BUYER02,BUYER02,1
4500183,00010,0000100019,Northgate Logistics AS,MAT-100168,Reinforced cartridge type 25 (Electrical components),MG10,3000,3000,P05,3010,60.0,EA,28.4,GBP,1704.0,2025-06-11,2025-07-09,2025-07-11,,NT60,Approved,BUYER01,BUYER01,3
4500184,00010,0000100019,Northgate Logistics AS,MAT-100168,Reinforced cartridge type 25 (Electrical components),MG10,3000,3000,P05,3010,197.0,EA,26.95,GBP,5309.15,2025-07-07,2025-08-01,2025-07-28,,NT60,Approved,BUYER04,BUYER04,2
4500185,00010,0000100019,Northgate Logistics AS,MAT-100168,Reinforced cartridge type 25 (Electrical components),MG10,3000,3000,P05,3010,259.6,EA,27.22,GBP,7066.31,2025-08-17,2025-10-01,2025-09-26,,NT60,Approved,BUYER08,BUYER08,3
4500186,00010,0000100019,Northgate Logistics AS,MAT-100168,Reinforced cartridge type 25 (Electrical components),MG10,3000,3000,P01,3010,206.0,EA,26.95,GBP,5551.7,2025-09-13,2025-10-17,2025-10-20,,NT60,Approved,BUYER06,BUYER06,4
4500187,00010,0000100019,Northgate Logistics AS,MAT-100168,Reinforced cartridge type 25 (Electrical components),MG10,3000,3000,P04,3010,205.0,EA,28.0,GBP,5740.0,2025-10-19,2025-11-30,2025-12-01,,NT60,Approved,BUYER08,BUYER08,2
4500188,00010,0000100019,Northgate Logistics AS,MAT-100168,Reinforced cartridge type 25 (Electrical components),MG10,3000,3000,P05,3010,310.0,EA,27.68,GBP,8580.8,2025-11-15,2025-12-15,2025-12-10,,NT60,Approved,BUYER04,BUYER04,2
4500189,00010,0000100020,Orchard Technologies Oy,MAT-100028,Heavy-duty gasket type 5 (Chemicals and lubricants),MG30,4000,4000,P03,4010,141.0,KG,13.2,CHF,1861.2,2025-01-24,2025-02-13,2025-02-08,460020228,Z030,Approved,BUYER07,BUYER07,3
4500189,00020,0000100020,Orchard Technologies Oy,MAT-100490,Industrial sensor type 31 (Safety equipment),MG60,4000,4000,P03,4010,20.0,BOX,193.99,CHF,3879.8,2025-01-24,2025-02-13,2025-02-08,460020690,Z030,Approved,BUYER07,BUYER07,2
4500189,00030,0000100020,Orchard Technologies Oy,MAT-100385,Compact gasket type 16 (Maintenance services),MG45,4000,4000,P03,4010,44.0,EA,139.33,CHF,6130.52,2025-01-24,2025-02-13,2025-02-08,460020585,Z030,Approved,BUYER07,BUYER07,4
4500190,00010,0000100020,Orchard Technologies Oy,MAT-100028,Heavy-duty gasket type 5 (Chemicals and lubricants),MG30,4000,4000,P04,4010,176.0,KG,13.56,CHF,2386.56,2025-02-25,2025-03-15,2025-03-11,460020228,Z030,Approved,BUYER10,BUYER10,3
4500190,00020,0000100020,Orchard Technologies Oy,MAT-100385,Compact gasket type 16 (Maintenance services),MG45,4000,4000,P04,4010,28.0,EA,135.39,CHF,3790.92,2025-02-25,2025-03-15,2025-03-11,460020585,Z030,Approved,BUYER10,BUYER10,4
4500190,00030,0000100020,Orchard Technologies Oy,MAT-100490,Industrial sensor type 31 (Safety equipment),MG60,4000,4000,P04,4010,41.0,BOX,203.6,CHF,8347.6,2025-02-25,2025-03-15,2025-03-11,460020690,Z030,Approved,BUYER10,BUYER10,2
4500191,00010,0000100020,Orchard Technologies Oy,MAT-100028,Heavy-duty gasket type 5 (Chemicals and lubricants),MG30,4000,4000,P03,4010,257.0,KG,13.23,CHF,3400.11,2025-04-10,2025-05-08,2025-05-06,460020228,Z030,Approved,BUYER02,BUYER02,3
4500192,00010,0000100020,Orchard Technologies Oy,MAT-100385,Compact gasket type 16 (Maintenance services),MG45,4000,4000,P06,4010,20.0,EA,131.43,CHF,2628.6,2025-05-15,2025-06-28,2025-06-26,460020585,Z030,Approved,BUYER10,BUYER10,4
4500192,00020,0000100020,Orchard Technologies Oy,MAT-100028,Heavy-duty gasket type 5 (Chemicals and lubricants),MG30,4000,4000,P06,4010,242.0,KG,12.99,CHF,3143.58,2025-05-15,2025-06-28,2025-06-26,460020228,Z030,Approved,BUYER10,BUYER10,1
4500192,00030,0000100020,Orchard Technologies Oy,MAT-100490,Industrial sensor type 31 (Safety equipment),MG60,4000,4000,P06,4010,20.0,BOX,200.41,CHF,4008.2,2025-05-15,2025-06-28,2025-06-26,460020690,Z030,Approved,BUYER10,BUYER10,1
4500193,00010,0000100020,Orchard Technologies Oy,MAT-100490,Industrial sensor type 31 (Safety equipment),MG60,4000,4000,P03,4010,19.0,BOX,191.7,CHF,3642.3,2025-06-11,2025-07-26,2025-07-21,460020690,Z030,Open,BUYER09,BUYER09,1
4500193,00020,0000100020,Orchard Technologies Oy,MAT-100385,Compact gasket type 16 (Maintenance services),MG45,4000,4000,P03,4010,12.0,EA,139.01,CHF,1668.12,2025-06-11,2025-07-26,2025-07-21,460020585,Z030,Open,BUYER09,BUYER09,4
4500193,00030,0000100020,Orchard Technologies Oy,MAT-100028,Heavy-duty gasket type 5 (Chemicals and lubricants),MG30,4000,4000,P03,4010,98.0,KG,12.53,CHF,1227.94,2025-06-11,2025-07-26,2025-07-21,460020228,Z030,Open,BUYER09,BUYER09,0
4500194,00010,0000100020,Orchard Technologies Oy,MAT-100385,Compact gasket type 16 (Maintenance services),MG45,4000,4000,P02,4010,7.0,EA,140.5,CHF,983.5,2025-07-12,2025-08-15,2025-08-11,460020585,Z030,Approved,BUYER06,BUYER06,0
4500194,00020,0000100020,Orchard Technologies Oy,MAT-100490,Industrial sensor type 31 (Safety equipment),MG60,4000,4000,P02,4010,57.0,BOX,206.15,CHF,11750.55,2025-07-12,2025-08-15,2025-08-11,460020690,Z030,Approved,BUYER06,BUYER06,4
4500195,00010,0000100020,Orchard Technologies Oy,MAT-100028,Heavy-duty gasket type 5 (Chemicals and lubricants),MG30,4000,4000,P03,4010,151.0,KG,12.66,CHF,1911.66,2025-08-19,2025-08-29,2025-08-30,460020228,Z030,Approved,BUYER12,BUYER12,1
4500196,00010,0000100020,Orchard Technologies Oy,MAT-100490,Industrial sensor type 31 (Safety equipment),MG60,4000,4000,P01,4010,50.0,BOX,194.54,CHF,9727.0,2025-09-27,2025-10-28,2025-10-28,460020690,Z030,Approved,BUYER11,BUYER11,2
4500197,00010,0000100020,Orchard Technologies Oy,MAT-100385,Compact gasket type 16 (Maintenance services),MG45,4000,4000,P06,4010,23.0,EA,133.88,CHF,3079.24,2025-11-01,2025-11-12,2025-11-12,460020585,Z030,Approved,BUYER02,BUYER02,0
4500197,00020,0000100020,Orchard Technologies Oy,MAT-100490,Industrial sensor type 31 (Safety equipment),MG60,4000,4000,P06,4010,13.0,BOX,187.97,CHF,2443.61,2025-11-01,2025-11-12,2025-11-12,460020690,Z030,Approved,BUYER02,BUYER02,2
4500197,00030,0000100020,Orchard Technologies Oy,MAT-100028,Heavy-duty gasket type 5 (Chemicals and lubricants),MG30,4000,4000,P06,4010,204.0,KG,12.6,CHF,2570.4,2025-11-01,2025-11-12,2025-11-12,460020228,Z030,Approved,BUYER02,BUYER02,1
4500198,00010,0000100020,Orchard Technologies Oy,MAT-100028,Heavy-duty gasket type 5 (Chemicals and lubricants),MG30,4000,4000,P04,4010,118.0,KG,12.55,CHF,1480.9,2025-12-04,2025-12-17,2025-12-14,460020228,Z030,Open,BUYER02,BUYER02,2
4500199,00010,0000100021,Pinnacle Systems Inc,MAT-100182,Compact bracket type 27 (Raw steel and metals),MG20,1000,1000,P03,1020,293.0,TO,2.73,EUR,799.89,2025-01-23,2025-02-28,2025-02-23,460021382,Z060,Approved,BUYER01,BUYER01,4
